Artist,Title songs,Popularity,label
Fiersa Besari,Garis Terdepan,67,2
The Chainsmokers,Don't Let Me Down,81,4
Mulatu Astatke,Tezeta (Nostalgia),57,3
The Moody Blues,Your Wildest Dreams - Live At Red Rocks/1992,14,1
The Doobie Brothers,What a Fool Believes,71,0
Bill Evans,Skating In Central Park,62,3
Roddy Ricch,Down Below,78,4
Traveling Wilburys,End Of The Line,72,0
SEVENTEEN,舞い落ちる花びら(Fallin' Flower),62,0
Mötley Crüe,"Girls, Girls, Girls",71,4
R.E.M.,Losing My Religion,83,0
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Five - For The 1st Sunday In The New Year: No. 45 Chor: ""Wo ist der neugeborne König der Juden?"" - Rezitativ (Alt): ""Sucht ihn in meiner Brust""",0,2
Orleans,Time Passes On,38,2
Johann Sebastian Bach,"Violin Partita No. 3 in E Major, BWV 1006: VI. Gigue",0,2
Andmesh,Jangan Rubah Takdirku,64,2
Rex Orange County,Loving Is Easy,77,0
Twisted Sister,We're Not Gonna Take It,74,0
Julia Michaels,What A Time (feat. Niall Horan),84,2
Billy Joel,It's Still Rock and Roll to Me,18,0
Taylor Swift,august,81,2
Peterpan,Mungkin Nanti,60,4
Pierce The Veil,Bulls In The Bronx,69,4
Kylie Minogue,Santa Baby,77,2
John Prine,"Dim Lights, Thick Smoke, And Loud, Loud Music (feat. Amanda Shires)",36,2
Johann Sebastian Bach,"O Jesulein süß, o Jesulein mild, BWV 493",0,2
Music Travel Love,Stand by Me,40,2
M.I.A.,Bad Girls,77,4
Frédéric Chopin,"Nocturne in C Minor, B. 108",1,3
Andy Grammer,Lease On Life,72,0
Moe Bandy,Soft Lights and Hard Country Music,27,0
Wolfgang Amadeus Mozart,"Andante in F Major, K. 616",0,3
The Band,"Stage Fright - Live At The Academy Of Music, New York, 1971 / Remastered 2001",20,3
HOSHI,Spider,63,0
BTS,Boy in Luv,66,4
Palace Music,New Partner,41,2
Conan Gray,Heather,88,2
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part One - For The First Day Of Christmas: No. 3 Rezitativ: ""Nun wird mein liebster Bräutigam""",0,2
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Six - For The Feast Of Epiphany: No. 57 Aria: ""Nur ein Wink von seinen Händen""",0,2
WALK THE MOON,Shut Up and Dance,83,0
TWICE,SOS,59,0
A Tribe Called Quest,Buggin' Out,58,0
Young Stoner Life,Solid (feat. Drake),79,4
Oatmello,Tryon Park,57,3
Mac Miller,Blue World,77,0
Toby Keith,Don't Let the Old Man In - Radio Mix,33,2
Bad Company,Can't Get Enough - Live At Red Rocks,16,1
Miley Cyrus,Malibu,75,4
Carly Rae Jepsen,Call Me Maybe,71,0
Fuat Saka,Rapatma 4 - Livera,3,0
Justin Bieber,The Christmas Song (Chestnuts Roasting On An Open Fire),4,2
CIX,Movie Star,58,0
Music Travel Love,True Colors (Live at Singha Park),56,2
Nelly,Lil Bit,75,4
First and Forever,Give Me Up,32,4
Endank Soekamti,Salam Indonesia,3,0
Cakra Khan,Harus Terpisah,48,2
BAEKHYUN,UN Village,64,0
SHAUN,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,75,4
Galdive,Fond Adieu,35,4
Helge Schneider,Hoffnung - Remastered,4,2
DaBaby,ROOF,78,0
Michael Bublé,Holly Jolly Christmas,72,2
Peter Frampton,(I’m A) Road Runner - Live,25,1
Vory,Sep-22,0,0
Jubël,Dancing In The Moonlight (feat. NEIMY),76,4
The Jayhawks,Save It For A Rainy Day,53,0
Ardhito Pramono,Sudah - Story of Kale - Original Motion Picture Soundtrack,65,2
The Fray,Look After You,73,4
Arctic Monkeys,Fluorescent Adolescent,69,0
JEON SOYEON,Is this bad b****** number?,60,0
Mark Ronson,Uptown Funk (feat. Bruno Mars),83,0
SEVENTEEN,Home,64,0
Tony Q Rastafara,Dirgahayu Indonesia,1,0
Ken Navarro,When We Dance,53,3
Gene Autry,Rudolph the Red-Nosed Reindeer,29,2
Queen,We Are The Champions - Remastered 2011,64,2
Ed Sheeran,First Times,81,2
Johann Sebastian Bach,"Goldberg Variations, BWV 988: Var. 21, Canone alla settima",0,3
Lil Baby,Hats Off (feat. Travis Scott),77,4
Johnny Mathis,What Child Is This? (with Percy Faith & His Orchestra),58,2
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",80,4
John Coltrane Quartet,Say It (Over And Over Again),56,3
Little Big Town,Live Forever,37,2
Bryson Tiller,be mine this christmas,67,0
Country Joe & The Fish,Flying High,44,1
Yes,Roundabout - 2008 Remaster,52,4
KAI,Amnesia,61,4
The Groove,Satu Mimpiku,30,2
Styx,Rockin' The Paradise,13,0
Juicy Luicy,Terlalu Tinggi,53,4
Arash Buana,lmao i just broke up,56,2
Coldplay,My Universe,94,4
Hootie & The Blowfish,Only Wanna Be with You,71,4
TWICE,"HELLO (NAYEON, MOMO, CHAEYOUNG)",69,0
Seasick Steve,Cut My Wings,38,3
Halsey,Without Me (with Juice WRLD),71,4
"Car, the garden",Romantic Sunday,69,0
Johann Sebastian Bach,"Partita No. 1 in B-Flat Major, BWV 825: VII. Gigue",0,2
Kehlani,Nights Like This (feat. Ty Dolla $ign),77,4
JOY,Hello,70,1
The Black Crowes,Thorn In My Pride,49,4
Lil Nas X,MONTERO (Call Me By Your Name),87,0
Lil Tecca,Ransom (with Juice WRLD) - Remix,75,4
Tal Bachman,She's so High,72,4
NIKI,Shouldn't Couldn't Wouldn't - Acoustic Version,52,2
Glass Animals,Heat Waves,92,2
Bill Charlap Trio,Day Dream,59,3
J. Cole,She Knows (feat. Amber Coffman & Cults),85,4
grandson,Blood // Water,73,0
Ten2Five,TOKECANG,0,0
Padi,Menanti Sebuah Jawaban,57,4
Wolfgang Amadeus Mozart,"Violin Sonata No. 28 in E-Flat Major, K. 380: II. Andante con moto (Arr. for Clarinet and Strings)",0,3
Jason Derulo,Ridin' Solo,66,0
Rendy Pandugo,I Don't Care,49,4
TOMORROW X TOGETHER,Ghosting,65,0
Rush,Tom Sawyer,72,0
Ryan Hurd,Chasing After You (with Maren Morris),76,2
Frédéric Chopin,"Nocturnes, Op. 9: No. 2, Andante in E-Flat Major",0,3
Whee In,water color,61,0
Lit,My Own Worst Enemy,73,0
Vance Joy,Saturday Sun,72,0
Johann Sebastian Bach,"Cello Suite No. 5 in C Minor, BWV 1011: IV. Sarabande",0,3
Billie Holiday,Strange Fruit,60,2
Jon Pardi,Heartache On The Dance Floor,71,0
Cardi B,Please Me,75,0
Stray Kids,The View,67,0
Vedo,You Got It,82,4
Dewa,Indonesia Saja,23,0
Johann Sebastian Bach,"Wachet auf, ruft uns die Stimme, BWV 140: IV. Zion hört die Wächter singen",0,3
GARY,RAP (feat.DJ Pumkin),12,0
Daryl Hall & John Oates,Wait For Me (Live Version),22,1
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),77,0
Khalid,Love Lies (with Normani),76,4
Lil Tecca,Love Me,78,2
BTS,Epiphany,76,4
Pamungkas,I Love You but I'm Letting Go,69,2
Ne-Yo,So Sick,78,0
The Red Robin Quartet,Come Rain or Come Shine,54,3
The Doobie Brothers,Long Train Runnin',73,0
WILLOW,"Female Energy, Part 2",70,4
ATEEZ,Answer,68,4
Kacey Musgraves,justified,74,2
Travis Scott,SICKO MODE,85,4
Rihanna,FourFiveSeconds,79,2
K/DA,THE BADDEST,61,0
My Chemical Romance,Teenagers,84,0
Pete Townshend,Finale - The Rock - Demo,14,4
Boz Scaggs,Lowdown - Live at Great American Music Hall / August 2003,22,1
MARINA,How to Be a Heartbreaker,72,0
Survivor,Man Against the World,48,2
LOONA/yyxy,love4eva (feat. Grimes),58,0
Judika,Putus Atau Terus,64,2
NCT DREAM,Ridin',64,4
Music Travel Love,Landslide,47,2
The Rolling Stones,Start Me Up - Remastered 2009,77,0
Rich Brian,Dat $tick,66,4
Elephant Kind,True Love,51,2
BTS,MAMA,60,4
Brad Paisley,I Do Now,27,4
Kerispatih,Demi Cinta,59,4
José James,Christmas in New York,52,2
Lil Wayne,6 Foot 7 Foot,73,4
Mitchell Tenpenny,Drunk Me,69,4
Wolfgang Amadeus Mozart,"Symphony No. 41 in C Major, K. 551 ""Jupiter"": I. Allegro vivace",0,3
John Parr,St. Elmo's Fire (Man In Motion),14,4
Palace Music,Work Hard / Play Hard,30,0
12mé,Far Away,0,0
Sammy Simorangkir,Tak Mampu Pergi,65,2
Camila Cabello,Don't Go Yet,88,0
Hudson Harris & Haim,Blue in Green,59,3
Justin Bieber,Peaches,1,1
Paul Simon,Loves Me Like a Rock,42,0
Joe Walsh,Life's Been Good,68,0
Dave Brubeck,Over The Rainbow,55,3
Chuck Berry,Johnny B. Goode,76,2
Janis Joplin,Me and Bobby McGee,72,0
Roddy Ricch,late at night,80,4
Frédéric Chopin,"Berceuse, Op. 57",0,3
$NOT,GOSHA,77,2
Chris Andrian Yang,Until Death Do Us Part :),36,2
ITZY,LOCO - English Ver.,63,0
The Band,"When I Paint My Masterpiece - Live At The Academy Of Music, New York, 1971 / Remastered 2001",16,2
Halsey,Graveyard,72,4
cupcakKe,Cpr,75,0
Tino Ame,Siapa Kita Indonesia,0,2
The Moody Blues,Lovely To See You - Live At Red Rocks/1992,12,1
John Coltrane,Naima - Mono,60,2
Pablo Cruise,Whatcha Gonna Do?,25,0
Katy Perry,California Gurls,76,4
Wolfgang Amadeus Mozart,"Piano Sonata No. 11 in A Major, K. 331 ""Turkish March"": III. Alla turca",0,3
Flo Milli,In The Party,68,4
Bladverk Band,Caerulea,65,3
24kGoldn,Mood (feat. iann dior),88,0
TOMORROW X TOGETHER,Anti-Romantic,61,4
Grateful Dead,"The Music Never Stopped - Live at Hartford Civic Center, Hartford, CT 3/18/90",17,1
GANGGA,Forever,53,2
"Earth, Wind & Fire",Reasons,56,0
A$AP Rocky,Sundress,78,0
Galdive,Berceuse,30,2
The Offspring,Self Esteem,77,0
Kunto Aji,Sulung,56,2
Mc Kresha,Ski Çka M'lof,22,2
Kodak Black,Tunnel Vision,74,4
Lil Tjay,Calling My Phone,84,2
DaBaby,Masterpiece,76,4
Wolfgang Amadeus Mozart,"Gigue in G Major, K. 574",0,3
The Moody Blues,I Know You're Out There Somewhere - Live At Red Rocks/1992,13,4
Jackson Browne,Doctor My Eyes,67,0
Miley Cyrus,Midnight Sky,76,4
girl in red,i wanna be your girlfriend,80,4
Bernstein Square,This Is New,62,3
Foo Fighters,Learn to Fly,75,4
NDC Worship,Bukti KebesaranMu - Live,51,2
Glenn Fredly,Selesai,52,2
Wolfgang Amadeus Mozart,"Don Giovanni, K. 527: Il mio tesoro intanto",0,2
Kacey Musgraves,breadwinner,74,2
$uicideboy$,Kill Yourself (Part III),80,4
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Four - For New Year's Day: No. 36 Chor: ""Fallt mit Danken, fallt mit Loben""",0,2
Rob Zombie,Dragula,75,0
Konteks,City Samba,58,3
Lovejoy,One Day,76,0
38 Special,Rock & Roll Strategy,25,0
Foreigner,Double Vision - Live,13,1
BTS,Best Of Me,70,4
Wolfgang Amadeus Mozart,"Piano Concerto No. 20 in D Minor, K. 466: I. Allegro",0,3
TOMORROW X TOGETHER,0X1=LOVESONG (I Know I Love You) feat. Seori (Emocore Mix),62,4
Robert Glasper,Afro Blue,58,4
Glenn Fredly,Akhir Cerita Cinta - Ost. Cinta Silver (Re-arrange Version),51,2
WayV,Kick Back,62,4
Kid Cudi,Pursuit Of Happiness (Nightmare),76,2
Ronnie McDowell,Swayin' To The Music (Slow Dancing),20,4
LOONA,Hi High,61,0
Iwan Fals,Ijinkan Aku Menyayangimu,56,2
Johann Sebastian Bach,"Goldberg Variations, BWV 988: Var. 9, Canone alla terza",0,3
Fitz and The Tantrums,Out of My League,74,4
Mc Kresha,Dope Boy,22,4
Maroon 5,Sunday Morning,2,0
Regard,You,81,0
Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,77,2
Gustixa,Lemon Tree,56,3
The Black Crowes,Sometimes Salvation,41,4
Ariana Grande,December,69,2
John Denver,"Silent Night, Holy Night",38,2
Haico,Bahagia Bersamamu,65,2
LouiVos,Streng,3,0
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Six - For The Feast Of Epiphany: No. 56 Rezitativ: ""Du Falscher, suche nur den Herrn zu fällen""",0,2
MOMOLAND,BBoom BBoom,69,0
Kerispatih,Mengenangmu,54,4
Yahya,forever.,46,2
J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),81,4
Fleetwood Mac,Go Your Own Way - 2004 Remaster,73,0
$uicideboy$,Runnin' Thru the 7th with My Woadies,77,4
Major Lazer,Lean On,73,1
De La Soul,Rock Co.Kane Flow (feat. MF Doom),58,0
REO Speedwagon,Keep on Loving You,72,4
The Walters,I Love You So,90,2
Led Zeppelin,Stairway to Heaven - Remaster,80,2
2KBABY,MAD,59,4
CLC,HELICOPTER,68,0
The Weeknd,Can't Feel My Face,81,0
Ludovico Einaudi,Le onde,0,3
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Two - For The Second Day Of Christmas: No. 14 Rezitativ: ""Was Gott dem Abraham Verheißen""",0,2
Tom Petty,Free Fallin',78,0
Carrie Underwood,Before He Cheats,77,4
Endank Soekamti,Waktu,33,0
John Denver,"Rocky Mountain High - Live at the Palladium, London, UK - April 1976",15,1
Johann Sebastian Bach,"Brandenburg Concerto No. 3 in G Major, BWV 1048: I. (No Tempo Marking)",1,3
BØRNS,Electric Love,84,4
Adele,Love In The Dark,80,2
Bulan Sutena,I Love Mama Mantu,60,0
ATEEZ,The Leaders,60,0
Unknown Mortal Orchestra,Multi-Love,63,2
Wolfgang Amadeus Mozart,"Symphony No. 41 in C Major, K. 551 ""Jupiter"": III. Minuet (Allegretto)",0,3
Post Malone,Goodbyes (feat. Young Thug),79,2
Parmalee,Take My Name,72,0
SZA,The Weekend,75,4
JAY-Z,Ni**as In Paris,83,0
Bad Company,Rock 'n' Roll Fantasy - 2009 Remaster,57,0
Nirvana,In Bloom,69,4
LOONA,Why Not?,60,4
IU,Coin,62,0
BTS,Dynamite - Holiday Remix,62,0
Atlanta Rhythm Section,So Into You,60,2
TAEMIN,WANT,60,4
Danzig,Mother,73,4
Fleetwood Mac,This Is The Rock,25,0
10cc,I'm Not in Love - Edit,13,2
LOONA,키스는 다음에,57,0
Mary Chapin Carpenter,I'll Never Fall In Love Again,23,2
Frank Ocean,Thinkin Bout You,73,2
The Killers,When You Were Young,77,4
Ardhito Pramono,Bila,52,2
DJ Mbon Mbon,Dj Salting,51,0
Miles Davis Quintet,Solar - Rudy Van Gelder Remaster,54,2
Romantic Echoes,Alright (feat. Pamungkas),44,0
Coldplay,Yellow,87,4
Nils Frahm,All Numbers End,66,3
Chrisye,Andai Aku Bisa,58,2
Flyleaf,All Around Me,67,4
Vendla,Infinite Love,58,3
Grand Funk Railroad,Some Kind Of Wonderful,33,0
Ungu,Cinta Dalam Hati,64,4
Men I Trust,Show Me How,76,3
Stephen Stills,Jet Set / Rocky Mountain Way / Jet Set (Sigh) - Live Version,13,1
Roy Ayers Ubiquity,Everybody Loves The Sunshine,66,0
Epik High,Rosario,60,4
BTS,Intro: Singularity,67,2
Grateful Dead,"Franklin's Tower - Live at the Great American Music Hall, San Francisco, CA, August 13, 1975",34,1
Dua Lipa,Don't Start Now - Purple Disco Machine Remix,0,0
Wolfgang Amadeus Mozart,"Le nozze di Figaro, K. 492: Overture",2,3
Ella Fitzgerald,Rudolph The Red-Nosed Reindeer,0,2
GRiZ,PS GFY,54,4
Music Travel Love,One More Day,52,2
JEON SOYEON,Smile,14,4
Disclosure,You & Me - Flume Remix,68,2
Prem Hani,Love Story Love Story,0,0
Lil Uzi Vert,Homecoming,74,4
Bryan Adams,Go Down Rockin',25,0
OH MY GIRL,Dolphin,66,0
Geisha,Lumpuhkan Ingatanku,56,2
BTS,Stay Gold,73,0
Dolly Parton,Mule Skinner Blues (Blue Yodel No. 8),19,0
DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),80,4
DaBaby,Suge,76,0
Sia,Snowman,86,2
Maroon 5,She Will Be Loved - Radio Mix,80,4
Mac Davis,I Believe In Music,22,0
The Statler Brothers,The King Is Coming,24,1
Frédéric Chopin,"Preludes, Op. 28: No. 11, Vivace in B Major",0,3
Dolly Parton,Down On Music Row,19,2
AC/DC,Thunderstruck,83,4
Little Feat,"Rock And Roll Doctor - Live at Lisner Auditorium, Washington, DC, 8/9/1977",21,1
Stray Kids,WOLFGANG,65,4
Justin Timberlake,Mirrors,80,0
Money Man,24 (feat. Lil Baby),78,4
MALIQ & D'Essentials,Aku Cinta Kau Dan Dia,53,2
Midnight Quickie,Summer Love (feat. Matter Mos),37,4
Bryan Adams,"One Night Love Affair - Live At Rock Werchter, Belgium/1988",22,1
Andy Grammer,"Honey, I'm Good.",72,0
Music Travel Love,Amen for Women,35,0
George Strait,Murder On Music Row - Live,33,1
Yiruma,River Flows In You,73,3
Nickelback,Burn It to the Ground,72,0
Bush,Glycerine,65,4
The Lovin' Spoonful,Summer in the City - Remastered,13,4
IU,Palette (feat. G-DRAGON),67,0
Girls' Generation,Lion Heart,60,0
OH MY GIRL,Dun Dun Dance,67,0
Vern Gosdin,"Dim Lights, Thick Smoke (And Loud, Loud Music) [feat. Lou Reid]",21,2
The Weeknd,Blinding Lights,93,4
Endank Soekamti,Mimpi,15,0
TOMORROW X TOGETHER,Maze in the Mirror,61,4
Hillsong UNITED,Oceans (Where Feet May Fail),68,2
Grateful Dead,"Introduction - Live at the Great American Music Hall, San Francisco, CA, August 13, 1975",28,1
Jack Harlow,WHATS POPPIN,81,0
Theory of a Deadman,Bad Girlfriend,67,0
Keith Urban,Somebody Like You - Edit,29,0
Wolfgang Amadeus Mozart,"12 Variations on ""Ah vous dirai-je, maman"", K. 265: Var. IV",3,3
Mc Kresha,Ska Lidhje,19,0
Katy Perry,Dark Horse,76,4
Foster The People,Pumped Up Kicks,85,0
Stray Kids,CALL,62,0
Johnny Cash,Jackson (with June Carter Cash),47,2
Daryl Hall & John Oates,Sara Smile,67,4
The Rose,RED,63,0
BLACKPINK,Love To Hate Me,70,0
Stray Kids,Mixtape : OH,65,0
Ry Cooder,He'll Have to Go,41,0
Ella Fitzgerald,Someone To Watch Over Me,56,2
George Thorogood & The Destroyers,"Reelin' & Rockin' - Live At The Cincinnati Garden, Cincinnati, Ohio/1986",14,1
Future,Fine China,75,0
Candlebox,Far Behind,67,0
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),82,0
Three Days Grace,I Hate Everything About You,73,4
Alif Satar,Rapuh,6,2
The Police,Roxanne,77,0
Music Travel Love,When You Say Nothing at All (Live in Nashville),58,2
Ariana Grande,Love Me Harder,77,4
Lil Yachty,Yacht Club (feat. Juice WRLD),74,4
Norah Jones,Feelin' The Same Way,59,2
Guyon Waton,Perlahan,65,2
Music Travel Love,Let Her Go,55,2
Mahalini,Aku Yang Salah,71,2
Charley Pride,Country Music,28,2
Mitski,Me and My Husband,78,0
Black Eyed Peas,Pump It,69,1
Glenn Frey,"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack",16,0
Zatua,Harimau,31,0
Bunga Citra Lestari,Aku Dan Dirimu (feat. Ari Lasso),55,2
OnlyOneOf,libidO,58,0
Sara Kays,Remember That Night?,80,2
LouiVos,Titanic,16,0
Night Ranger,(You Can Still) Rock In America,23,4
Chet Baker,That Old Feeling,56,2
BTS,Hold Me Tight,64,4
Taylor Swift,Wildest Dreams (Taylor's Version),87,4
Wolfgang Amadeus Mozart,"Les Petits Riens, K.Anh. 10: No. 3, Gavotte joyeuse (Allegro)",0,3
Wolfgang Amadeus Mozart,"Vesperae solennes de confessore in C Major, K. 339: 5. Laudate Dominum omnes gentes - Live",0,2
4Minute,Crazy,67,1
jagger finn,Vas,78,3
Dwight Yoakam,"Sad, Sad Music",23,2
Badfinger,Dear Angie - Remastered 2010,62,0
Iggy Azalea,Black Widow,67,0
Electric Light Orchestra,Rockaria!,13,0
Red Velvet - IRENE & SEULGI,Naughty,63,0
Harry Chapin,The Rock,11,2
Dialog Senja,Lara,64,2
Vince Guaraldi Trio,Christmas Time Is Here - Vocal,0,2
Bazzi,I.F.L.Y.,78,0
Avicii,The Nights,86,0
Mac Miller,Self Care,80,4
George Thorogood & The Destroyers,Reelin' And Rockin' - Live/Remastered,27,1
Atlanta Rhythm Section,Outlaw Music,33,2
"Hank Williams, Jr.",A Country Boy Can Survive,67,4
Jessi,What Type of X,67,0
Geisha,Tak Kan Pernah Ada,55,2
Jessie J,Domino,66,0
Louis Prima,Just A Gigolo / I Ain't Got Nobody - Medley / Remastered,60,2
Neil Sedaka,Another Sleepless Night,22,2
Wolfgang Amadeus Mozart,"Piano Sonata No. 8 in A Minor, K. 310: I. Allegro maestoso",0,3
Paul Partohap,Baby,45,0
Bazzi,Why,73,0
John Mellencamp,Our Country - Rock Version,19,0
Deftones,Sextape,71,4
Fee Waybill,What Is this Thing?,26,0
Enrique Iglesias,Bailando - Spanish Version,68,0
The Jayhawks,Will I See You In Heaven,25,2
"Earth, Wind & Fire",That's the Way of the World,58,2
Stephanie Poetri,Touch,41,0
Tom Petty and the Heartbreakers,Zero from Outer Space,23,4
LOONA,WOW,57,0
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Three - For The Third Day Of Christmas: No. 24 Chor: ""Herrscher des Himmels, erhöre das Lallen"" (II)",0,3
Hwa Sa,Maria,75,4
Ry Cooder,Theme from Southern Comfort,32,3
ENHYPEN,Just A Little Bit,72,4
Rezan,Baran,1,0
Fiersa Besari,Waktu Yang Salah,67,2
Daryl Hall & John Oates,Adult Education,18,0
Ludovico Einaudi,I giorni,0,3
The Band,Chest Fever - Remastered,43,4
Monsta X,Autobahn,62,0
Buffalo Springfield,For What It's Worth,76,0
Doja Cat,Freak,76,4
Grateful Dead,"It Must Have Been the Roses - Live at the Great American Music Hall, San Francisco, CA, August 13, 1975",24,2
John Anderson,Okie From Muskogee - Live,31,1
Nirvana,Smells Like Teen Spirit,79,0
I DONT KNOW HOW BUT THEY FOUND ME,Choke,74,0
Justin Bieber,Mistletoe,85,0
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Four - For New Year's Day: No. 37 Evangelist: ""Und da acht Tage um waren""",0,2
Kansas,Got to Rock On,17,0
Gram Parsons,Love Hurts (with The Fallen Angels) - Live,27,1
Matthew Sweet,Dark Secret,36,0
The Notorious B.I.G.,Big Poppa - 2005 Remaster,78,0
Brent Faiyaz,Clouded,75,2
Terrace Martin,From My Heart and My Soul (feat. Phoelix),60,0
LouiVos,Andre Hazes,6,0
Falling In Reverse,Popular Monster,76,4
Frédéric Chopin,"Piano Sonata No. 2 in B-Flat Minor, Op. 35: 3. Marche funèbre (Lento)",1,3
Grateful Dead,"The Music Never Stopped - Live at the Great American Music Hall, San Francisco, CA, August 13, 1975",27,1
Flughand,Feblu,57,3
Maria Shandi,Tuhan Pasti Sanggup,49,2
"Crosby, Stills & Nash",Love The One You're With (with James Taylor),15,1
Bob Seger,Somewhere Tonight,27,2
Bad Company,Shooting Star - 2015 Remaster,30,0
BTS,Lie,69,4
Loverboy,Turn Me Loose,15,4
Nat King Cole,Deck The Halls - Remastered 1999,0,2
Daryl Hall & John Oates,Jingle Bell Rock - John's Version,14,2
Ungu,Demi Waktu,56,4
Ten2Five,Cing Cang Keling,4,4
Alex Porat,Don't Watch Me Cry,61,2
BAEKHYUN,Amusement Park,59,2
Daryl Hall & John Oates,Rich Girl,35,2
BTS,No More Dream,69,1
Erik Satie,Gnossienne No. 1,65,3
Jonas Brothers,Only Human,74,0
Tulus,Cahaya,59,2
BTS,Black Swan,71,4
Duncan Laurence,Arcade,84,2
John Denver,Rocky Mountain High - Live 1995,27,1
White Zombie,Thunder Kiss '65,69,1
Ada Band,LauloMen New,43,4
George Harrison,Rocking Chair In Hawaii,26,0
Bruce Springsteen,Born to Run,72,4
Ludwig van Beethoven,"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59",66,3
Ray Charles,Georgia on My Mind - Original Master Recording,59,2
Marie-Jo Thério,Where's the Indonesian Woman,4,2
Summer Walker,4th Baby Mama,73,4
Otto,Wolter Monginsidi,0,3
All Time Low,"Dear Maria, Count Me In",79,4
Shakira,Hips Don't Lie (feat. Wyclef Jean),83,0
alt-J,Left Hand Free,69,0
Stevie Nicks,I Can't Wait,40,1
Jason Derulo,Talk Dirty (feat. 2 Chainz),66,0
TWICE,REAL YOU,68,0
Ardhito Pramono,cigarettes of ours,62,2
Galdive,Sway,41,1
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,87,0
One Direction,Night Changes,83,2
Michael Bublé,Save the Last Dance for Me,54,0
LeeHi,HOLO,65,2
Baby Bash,Suga Suga,76,2
BTS,Ma City,59,0
DJ Snake,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",87,0
Kurosuke,Tapestry,41,0
Tee Grizzley,First Day Out,73,4
Stephanie Poetri,3PM,33,2
Stephanie Poetri,How We Used To,39,2
M.I.A.,Paper Planes,78,1
ENHYPEN,Hey Tayo - Tayo Opening Theme Song,69,0
Endank Soekamti,Punya Indonesia,16,4
John Denver,Season Suite: Summer,27,2
Dustin Lynch,Thinking 'Bout You (feat. MacKenzie Porter),78,0
a-ha,Lifelines,0,4
Neil Sedaka,Oh! Carol,60,0
Bryan Adams,Kids Wanna Rock,45,1
Eagles,Life in the Fast Lane - 2013 Remaster,72,0
Megan Thee Stallion,Megan's Piano,75,4
Alice Coltrane,Turiya & Ramakrishna,58,3
Natalie Cole,Miss You Like Crazy,65,2
Benny Goodman,Stompin At The Savoy,56,2
Bad Company,Can't Get Enough - Single Edit; 2015 Remaster,23,0
BLACKPINK,WHISTLE,74,0
Johann Sebastian Bach,"Orgelbüchlein, BWV 599-644: Lobt Gott, ihr Christen, allzugleich, BWV 609",0,3
Arash Buana,say you're done with me,60,2
Keb' Mo',Beautiful Music,29,2
Wolfgang Amadeus Mozart,"Divertimento No. 15 in B-Flat Major, K. 247: III. Minuet",0,3
Drake,God's Plan,83,1
Ghaitsa Kenang,The A Team - Rising Star Indonesia,0,2
The Black Crowes,Hard To Handle,72,0
Emmylou Harris,Didn't Leave Nobody But The Baby,26,2
Avicii,Waiting For Love,81,0
James Arthur,Say You Won't Let Go,86,2
Ringo Starr,Rock Around The Clock,33,0
Xelil Xemgin,Raperin,6,2
Heart,Crazy On You,22,4
JKT48,Rapsodi,73,2
Red Hot Chili Peppers,Otherside,79,4
Toby Keith,Don't Let the Old Man In,47,2
Bob Seger,Night Moves - Remastered,41,2
DPR LIVE,Text Me,62,0
Wolfgang Amadeus Mozart,"String Quartet No. 19 in C Major, K. 465 ""Dissonance"": IV. Allegro molto",0,2
alt-J,Breezeblocks,74,4
Ariana Grande,needy,74,2
Drake,Papi’s Home,78,1
KAI,Blue,64,2
Nina Simone,Baltimore,64,0
Peach Pit,Alrighty Aphrodite,71,4
Backstreet Boys,I Want It That Way,80,0
Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Two - For The Second Day Of Christmas: No. 12 Chorale: ""Brich an, o schönes Morgenlicht""",0,3
Badfinger,Rock Of All Ages - Remastered 2010,26,0
EST Gee,All My Life,42,4
Beach House,Space Song,81,0
Alabama,Mountain Music,40,0
Tim McGraw,Top Of The World,22,1
Smash Mouth,All Star,79,0
Geeder,It´s Easy To Remember,58,3
Stray Kids,끝나지 않을 이야기,63,4
Sless Praismo,Relieved,56,3
Geekssmile,Anarki,0,1
Camila Cabello,Havana (feat. Young Thug),82,4
The Statler Brothers,Flowers On The Wall,38,2
